NomEtablissementPrive,AdresseEtablissementPrive
College Prive Saint-Martin-de-France,1 avenue de Verdun 95300 Pontoise
College Prive Saint-Spire Senart - Institution Saint-Spire,33/35 Cote de l'Entre-Deux 91280 Saint-Pierre-du-Perray
College Prive Saint-Spire - Institution Saint-Spire,7 rue de la Quarantaine 91100 Corbeil-Essonnes
College Prive Catholique Notre Dame de la Compassion - Pontoise,8 place Nicolas-Flamel 95300 Pontoise
Lycee General et Technologique Prive Saint-Charles,2 rue Genevieve Anthonioz de Gaulle 91200 Athis-Mons
"Lycee Professionnel des metiers du commerce, de la gestion et du service aux entreprises",2 bis boulevard Toussaint-Lucas 95130 Franconville
Lycee Prive Charles de Foucauld - Groupe Scolaire La Madone,5 rue de la Madone 75018 Paris 18
College Prive Sainte-Therese,10 route de Levis Saint-Nom 78320 Le Mesnil-Saint-Denis
"IEA Institut Europeen des Affaires, Ecole Superieure de Management",8 Terrasse Bellini 92800 Puteaux
Apprentis d'Auteuil - Internat Educatif et Scolaire Saint-Philippe,1 rue du Pere Brottier 92190 Meudon
Apprentis d'Auteuil - Lycee Saint-Gabriel,21 rue de la Lisette 92220 Bagneux
Ecole Privee Moreau,28 Grande Rue 91310 Montlhery
College Saint Padre Pio (statut catholique hors contrat),36 rue de la Grande Ceinture 94100 Saint-Maur-des-Fosses
Ecole Jeanne d'Arc - Notre Dame,6 rue du General Colin 78400 Chatou
L'Ecole Heureuse,6 place de la Victoire 94480 Ablon-sur-Seine
College Internat Ile-de-France,7 rue du Baron-de-Niviere 91140 Villebon-sur-Yvette
"Ecole Maternelle et Elementaire Notre-Dame-de-Toutes-Graces, Ensemble Sainte-Marie",14 rue de la Cascade 94170 Le Perreux-sur-Marne
Ecole Privee Notre-Dame de Draveil,2 place Rouffy 91210 Draveil
Groupe Scolaire Saint-Vincent-de-Paul Paris 13 - College,49 rue Bobillot 75013 Paris 13
Ecole Prive Maternelle et Primaire Sainte Jeanne d'Arc,14 rue Alsace Lorraine 95260 Beaumont-sur-Oise
Apprentis d'Auteuil - Ecole Pier Giorgio Frassati,57 avenue de Lorraine 78110 Le Vesinet
Ecole du Sacre-Coeur Ensemble Scolaire Sainte Catherine Laboure,29 rue Gassendi 75014 Paris 14
College Prive de l'Institut Notre-Dame,65 avenue du General-Leclerc 92340 Bourg-la-Reine
"Ecole Maternelle et Primaire Privee Sainte-Marthe, Ensemble Batignolles Epinettes",5 bis rue Lacaille 75017 Paris 17
College Prive - Groupe Scolaire Sainte-Jeanne d'Arc,27 rue des Imbergeres 92330 Sceaux
Ecole Privee Saint-Louis-Sainte-Clotilde,16 allee des Hetres 93340 Le Raincy
"College Prive, Ensemble Scolaire La Salle Igny",10 avenue de la Division Leclerc 91430 Igny
College Prive Pascal,33 boulevard Lannes 75116 Paris 16
