AdresseEtablissementPrive,NomEtablissementPrive
205 RUE DE JAVEL 75015 PARIS 15,"['College prive Saint Jean de Dieu', 'Centre Hospitalier Saint Jean De Dieu', 'Centre medico-social Lecourbe, College specialise Fondation Saint-Jean-de-Dieu']"
207 AVENUE MAURICE THOREZ 94200 IVRY-SUR-SEINE,"['Ecole primaire privee Jean XXIII', 'Ecole Privee Jean XXIII']"
21 RUE DE LOUVAIN 92400 COURBEVOIE,"['Ecole secondaire privee  les vignes', 'College Prive Les Vignes']"
21 RUE DE LA LISETTE 92220 BAGNEUX,"['Lycee Saint-Gabriel', 'Ecole primaire privee Saint Gabriel', 'College Saint-Gabriel', ""Apprentis d'Auteuil - College Saint-Gabriel"", ""Apprentis d'Auteuil - Ecole maternelle et elementaire Saint-Gabriel"", ""Apprentis d'Auteuil - Lycee Saint-Gabriel"", ""Apprentis d'Auteuil - Lycee General et Technologique Saint-Gabriel""]"
21 RUE DU BUAT 78580 MAULE,"['Lycee professionnel agricole Le Buat', 'Campus Le Buat', 'Internat du Campus Le Buat']"
22 AVENUE DE L'EUROPE 78200 MAGNANVILLE,"['Lycee agricole prive Sully', 'Internat du Lycee Agricole Prive Sully', 'Lycee Agricole Prive Sully']"
22 AVENUE DES ARTS 94100 SAINT-MAUR-DES-FOSSES,"['Ecole primaire privee Le Rosaire', 'Ecole Primaire Privee Catholique Mixte Le Rosaire']"
23 BIS RUE GUILLAUME TELL 75017 PARIS 17,"['E.P.PR ECOLE EJM 23 bis rue Guillaume Tell', 'Weller International Business School']"
23 PLACE DU PETIT MARTROY 95300 PONTOISE,"['College Vauban', 'Lycee prive Vauban', 'Lycee Vauban']"
23 QUATER BOULEVARD D'ARGENSON 92200 NEUILLY-SUR-SEINE,"['College Saint-Dominique', 'Lycee Saint-Dominique', 'Ecole Primaire Privee Saint-Dominique']"
23 RUE DE CRONSTADT 75015 PARIS 15,"['E.E.PR ICS Paris 23 rue de Cronstadt', 'Lycee prive EIB The Victor Hugo School', 'Lycee EIB The Victor Hugo School', 'EIB The Victor Hugo School']"
238 BOULEVARD SAINT-DENIS 92400 COURBEVOIE,"['Lycee Montalembert', 'Lycee Prive Montalembert']"
24 BOULEVARD EDGAR QUINET 75014 PARIS 14,"[""E.P.PR L'ECOLE AUJOURD'HUI 24 boulevard Edgar Quinet"", ""L'Ecole Aujourd'hui - School for Today""]"
24 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE,"['Lycee Sainte-Marie de Neuilly', 'College Sainte-Marie', 'Lycee prive Sainte-Marie de Neuilly', 'College prive Sainte-Marie de Neuilly']"
24 RUE DE MARNES 92380 GARCHES,"['Ecole primaire privee Jean Paul II', 'Ecole Privee Jean Paul II']"
25 RUE MATHURIN REGNIER 75015 PARIS 15,"['E.P.PR LA CROIX 25 rue Mathurin Regnier', 'Ecole Privee de la Croix']"
26 RUE GODEFROY 92800 PUTEAUX,"['Ecole primaire privee Saint Joseph', 'Ecole Primaire Privee Mixte Saint-Joseph']"
26 RUE SAINT-BARTHELEMY 78300 POISSY,"['Ecole primaire privee EMB POISSY', 'Ecole Montessori Bilingue de Poissy']"
27 RUE DIDEROT 78100 SAINT-GERMAIN-EN-LAYE,"['Ecole generale et technologique privee Suger Bilingue', 'Ecole primaire  privee Suger Bilingue', 'Lycee Suger Bilingue']"
27 RUE LACHAUX 78120 RAMBOUILLET,"['College Sainte-Therese', 'Ecole elementaire privee Sainte Therese', 'Ecole Privee Sainte-Therese']"
27 RUE DES IMBERGERES 92330 SCEAUX,"[""College Sainte-Jeanne d'Arc"", ""College Prive - Groupe Scolaire Sainte-Jeanne d'Arc""]"
28 BOULEVARD GAMBETTA 94130 NOGENT-SUR-MARNE,"['College Montalembert', 'Ecole primaire privee Montalembert', 'Ecole Privee Montalembert']"
28 BOULEVARD GAMBETTA 94736 NOGENT-SUR-MARNE,"['Lycee Montalembert', 'College Prive Montalembert']"
28 RUE FREMICOURT 75015 PARIS 15,"['E.M.PR 1 2 3 MON ECOLE 28 rue Fremicourt', '123 mon ecole Paris XV']"
28 RUE PETIT 92110 CLICHY,"['Ecole elementaire privee Ifea Emilie du Chatelet', 'Ecole generale et technologique privee Ifea Emilie du Chatelet', 'Ecole secondaire privee Ifea Emilie du Chatelet', 'Ecole Privee Ifea Emilie du Chatelet', 'Lycee Prive Ifea Emilie du Chatelet']"
